timestamp,open,high,low,close,volume
2026-07-06 04:00:00,306.9,306.9,305.7,306.76,13951
2026-07-06 04:01:00,306.14,306.8,305.65,306.76,2393
2026-07-06 04:02:00,306.43,306.59,306.43,306.59,795
2026-07-06 04:03:00,306.55,306.67,306.11,306.39,894
2026-07-06 04:04:00,306.68,307,306.09,306.53,6067
2026-07-06 04:05:00,306.47,307.1,305.46,306.06,15203
2026-07-06 04:06:00,305.97,306.16,305.77,305.77,1672
2026-07-06 04:07:00,305.7705,305.79,305.77,305.77,529
2026-07-06 04:08:00,305.7,305.7,305.7,305.7,65
2026-07-06 04:09:00,305.7,305.77,305.65,305.65,1104
2026-07-06 04:10:00,305.5823,305.62,305.28,305.3164,2185
2026-07-06 04:11:00,305.32,305.32,305.32,305.32,80
2026-07-06 04:12:00,305.3,305.3,305.28,305.28,626
2026-07-06 04:13:00,305.25,305.25,305.25,305.25,200
2026-07-06 04:14:00,305.36,305.45,305.36,305.45,1023
2026-07-06 04:15:00,305.4,305.48,305.4,305.4,387
2026-07-06 04:16:00,305.3,305.3,305.21,305.21,719
2026-07-06 04:17:00,305.2,305.21,305.2,305.2,384
2026-07-06 04:19:00,305.3,305.34,305.3,305.34,145
2026-07-06 04:20:00,305.42,305.42,305.34,305.34,145
2026-07-06 04:23:00,305.5,305.5,305.5,305.5,872
2026-07-06 04:26:00,305.4,305.52,305.4,305.52,245
2026-07-06 04:29:00,305.5,305.52,305.37,305.52,561
2026-07-06 04:30:00,305.33,305.37,305.21,305.21,801
2026-07-06 04:31:00,305.2,305.36,305.2,305.3,311
2026-07-06 04:32:00,305.25,305.25,305.19,305.19,534
2026-07-06 04:33:00,305.1501,305.18,305.1501,305.17,1021
2026-07-06 04:34:00,305.25,305.34,305.25,305.34,421
2026-07-06 04:35:00,305.48,305.48,305.26,305.26,340
2026-07-06 04:37:00,305.25,305.25,305.25,305.25,148
2026-07-06 04:38:00,305.25,305.25,305.25,305.25,130
2026-07-06 04:39:00,305.25,305.28,305.25,305.28,574
2026-07-06 04:40:00,305.26,305.28,305.26,305.28,193
2026-07-06 04:41:00,305.31,305.31,305.31,305.31,90
2026-07-06 04:42:00,305.32,305.33,305.31,305.31,383
2026-07-06 04:43:00,305.25,305.28,305.25,305.28,148
2026-07-06 04:44:00,305.29,305.29,305.29,305.29,65
2026-07-06 04:45:00,305.28,305.28,305.28,305.28,50
2026-07-06 04:46:00,305.3,305.3,305.3,305.3,45
2026-07-06 04:47:00,305.32,305.33,305.3,305.31,345
2026-07-06 04:48:00,305.31,305.33,305.31,305.33,419
2026-07-06 04:49:00,305.31,305.31,305.08,305.25,710
2026-07-06 04:50:00,305.25,305.43,305.24,305.43,1192
2026-07-06 04:51:00,305.36,305.36,305.36,305.36,60
2026-07-06 04:52:00,305.41,305.49,305.41,305.48,592
2026-07-06 04:53:00,305.5,305.63,305.5,305.63,1243
2026-07-06 04:54:00,305.6,305.62,305.59,305.62,355
2026-07-06 04:55:00,305.57,305.62,305.57,305.62,144
2026-07-06 04:56:00,305.6232,305.6232,305.6232,305.6232,130
2026-07-06 04:57:00,305.54,305.54,305.53,305.53,178
2026-07-06 04:58:00,305.55,305.65,305.55,305.65,379
2026-07-06 05:00:00,305.85,305.85,305.66,305.66,86
2026-07-06 05:01:00,305.66,305.8,305.66,305.8,199
2026-07-06 05:03:00,305.6817,305.75,305.6817,305.72,917
2026-07-06 05:04:00,305.73,305.76,305.73,305.76,926
2026-07-06 05:05:00,305.7,305.7,305.7,305.7,240
2026-07-06 05:07:00,305.73,305.73,305.72,305.73,749
2026-07-06 05:08:00,305.78,305.97,305.7,305.7,4617
2026-07-06 05:09:00,305.7,305.71,305.7,305.71,369
2026-07-06 05:10:00,305.69,305.69,305.69,305.69,100
2026-07-06 05:11:00,305.69,305.7,305.66,305.66,663
2026-07-06 05:13:00,305.63,305.63,305.39,305.4,3739
2026-07-06 05:14:00,305.35,305.36,305.35,305.36,259
2026-07-06 05:15:00,305.37,305.4,305.37,305.39,1324
2026-07-06 05:16:00,305.37,305.37,305.33,305.33,877
2026-07-06 05:17:00,305.32,305.32,305.32,305.32,99
2026-07-06 05:18:00,305.35,305.35,305.34,305.34,277
2026-07-06 05:21:00,305.32,305.32,305.32,305.32,98
2026-07-06 05:22:00,305.32,305.32,305.32,305.32,140
2026-07-06 05:23:00,305.36,305.36,305.36,305.36,117
2026-07-06 05:24:00,305.44,305.44,305.44,305.44,125
2026-07-06 05:25:00,305.47,305.5,305.47,305.47,346
2026-07-06 05:26:00,305.56,305.56,305.33,305.33,105
2026-07-06 05:29:00,305.44,305.44,305.35,305.35,374
2026-07-06 05:30:00,305.35,305.45,305.34,305.43,2921
2026-07-06 05:31:00,305.4,305.4,305.4,305.4,134
2026-07-06 05:32:00,305.39,305.39,305.39,305.39,65
2026-07-06 05:33:00,305.32,305.34,305.3,305.31,841
2026-07-06 05:34:00,305.28,305.34,305.28,305.34,382
2026-07-06 05:35:00,305.41,305.45,305.36,305.36,1657
2026-07-06 05:37:00,305.35,305.36,305.33,305.33,347
2026-07-06 05:38:00,305.28,305.28,305.28,305.28,132
2026-07-06 05:39:00,305.29,305.35,305.28,305.34,1227
2026-07-06 05:41:00,305.33,305.33,305.32,305.32,117
2026-07-06 05:42:00,305.37,305.38,305.34,305.34,215
2026-07-06 05:44:00,305.31,305.35,305.25,305.34,3423
2026-07-06 05:45:00,305.31,305.32,305.31,305.32,90
