timestamp,open,high,low,close,volume
2026-07-07 04:00:00,387.84,389.7474,387.26,389.18,35602
2026-07-07 04:01:00,389.38,389.6,387.5,389.6,6954
2026-07-07 04:02:00,389.93,390.5,389.93,390.49,3091
2026-07-07 04:03:00,390.15,390.3,387.4,388.5,9761
2026-07-07 04:04:00,388.82,390.4,387.6,388.51,14402
2026-07-07 04:05:00,388.41,390.5,387.88,389.17,17513
2026-07-07 04:06:00,389.5,390.5736,388.29,390.5,4244
2026-07-07 04:07:00,388.82,390.99,388.82,390.99,1268
2026-07-07 04:08:00,390.8963,390.8963,390.8963,390.8963,156
2026-07-07 04:09:00,390.98,390.98,389.45,389.45,742
2026-07-07 04:10:00,390.98,391.25,390.95,391,2701
2026-07-07 04:11:00,391.36,391.8,391.28,391.6,1885
2026-07-07 04:12:00,391.58,391.9108,391.38,391.8,3127
2026-07-07 04:13:00,391.67,391.77,391.61,391.77,1601
2026-07-07 04:14:00,391.77,391.77,391.6373,391.7003,249
2026-07-07 04:15:00,391.72,391.75,391.61,391.7469,663
2026-07-07 04:16:00,391.52,391.7,391.5,391.5,274
2026-07-07 04:17:00,391.39,391.54,391.28,391.3176,1159
2026-07-07 04:18:00,391.6,391.6,391.6,391.6,1249
2026-07-07 04:19:00,391.61,391.61,391.54,391.6,536
2026-07-07 04:20:00,391.5,391.5,391.49,391.5,412
2026-07-07 04:21:00,391.45,391.45,391.3,391.3,141
2026-07-07 04:22:00,391.44,391.5,391.43,391.43,200
2026-07-07 04:23:00,391.3013,391.37,391.2,391.35,754
2026-07-07 04:24:00,391.35,391.45,391.2,391.45,1224
2026-07-07 04:25:00,391.45,391.7,391.45,391.7,1994
2026-07-07 04:26:00,391.8,391.88,391.79,391.8536,1824
2026-07-07 04:27:00,391.8578,391.8578,391.7456,391.75,777
2026-07-07 04:28:00,391.77,391.88,391.74,391.88,825
2026-07-07 04:29:00,391.95,392.38,391.95,392.04,2322
2026-07-07 04:30:00,392.28,392.28,392,392.24,1192
2026-07-07 04:31:00,392.04,392.24,392,392.24,984
2026-07-07 04:32:00,392.22,392.22,392.01,392.16,610
2026-07-07 04:33:00,392.07,392.07,392,392,455
2026-07-07 04:34:00,391.8351,391.91,391.8351,391.91,180
2026-07-07 04:35:00,391.93,391.93,391.88,391.897,462
2026-07-07 04:36:00,391.85,391.89,391.8,391.89,384
2026-07-07 04:38:00,391.89,391.98,391.87,391.98,170
2026-07-07 04:39:00,392.1485,392.1485,391.98,392.06,590
