time,open,high,low,close,volume
09:30:00,73.95,74.46,73.94,74.28,622502
09:31:00,74.3,74.43,74.16,74.1701,197896
09:32:00,74.19,74.31,73.6,73.615,329143
09:33:00,73.59,73.77,73.33,73.475,179619
09:34:00,73.475,73.6598,73.44,73.635,127164
09:35:00,73.635,73.71,73.46,73.53,150094
09:36:00,73.52,73.67,73.5,73.6,148578
09:37:00,73.615,73.63,73.421,73.4401,107994
09:38:00,73.46,73.68,73.4,73.62,100468
09:39:00,73.62,73.6819,73.44,73.57,134262
09:40:00,73.57,73.6399,73.3,73.38,214400
09:41:00,73.385,73.54,73.36,73.45,95194
09:42:00,73.47,73.52,73.18,73.205,99819
09:43:00,73.2,73.35,73.2,73.305,135841
09:44:00,73.295,73.45,73.295,73.395,66039
09:45:00,73.385,73.47,73.275,73.465,109859
09:46:00,73.465,73.59,73.445,73.54,119515
09:47:00,73.535,73.55,73.33,73.355,84204
09:48:00,73.35,73.44,73.29,73.42,96623
09:49:00,73.42,73.5,73.4,73.48,98539
09:50:00,73.47,73.47,73.35,73.43,63822
09:51:00,73.42,73.48,73.39,73.43,74058
09:52:00,73.44,73.4934,73.38,73.48,39009
09:53:00,73.475,73.6,73.46,73.59,73874
09:54:00,73.6,73.615,73.4,73.485,63162
09:55:00,73.49,73.53,73.39,73.47,86697
09:56:00,73.455,73.6275,73.455,73.535,89745
09:57:00,73.54,73.57,73.48,73.5499,55179
09:58:00,73.535,73.64,73.5,73.52,75761
09:59:00,73.52,73.59,73.48,73.5,68892
10:00:00,73.485,73.54,73.42,73.49,66672
10:01:00,73.475,73.585,73.45,73.55,133714
10:02:00,73.53,73.53,73.44,73.509,68872
10:03:00,73.495,73.495,73.3801,73.45,56636
10:04:00,73.45,73.505,73.43,73.5,76180
10:05:00,73.5,73.51,73.41,73.44,92389
10:06:00,73.44,73.45,73.25,73.255,92933
10:07:00,73.265,73.2796,73.125,73.13,112756
10:08:00,73.13,73.14,72.9408,73.05,255652
10:09:00,73.055,73.12,73.035,73.11,111124
10:10:00,73.11,73.14,72.98,73.005,108027
10:11:00,73,73.05,72.9401,73.018,90651
10:12:00,73.02,73.21,73.02,73.08,130941
10:13:00,73.08,73.115,73.02,73.0405,100879
10:14:00,73.045,73.09,73.045,73.05,50554
10:15:00,73.048,73.1474,72.98,73.1,112084
10:16:00,73.1,73.15,73.0201,73.0201,65755
10:17:00,73.03,73.095,73.025,73.0697,43388
10:18:00,73.065,73.065,73.005,73.051,32930
10:19:00,73.055,73.08,73,73.05,53082
10:20:00,73.045,73.145,73.04,73.14,39829
10:21:00,73.14,73.14,73.04,73.085,61543
10:22:00,73.085,73.23,73.075,73.13,72152
10:23:00,73.13,73.15,73.09,73.145,64429
10:24:00,73.145,73.19,73.1,73.185,60112
10:25:00,73.17,73.23,73.17,73.17,53335
10:26:00,73.165,73.21,73.14,73.195,42199
10:27:00,73.19,73.19,73.125,73.14,63568
10:28:00,73.145,73.175,73.13,73.15,42087
10:29:00,73.14,73.14,73.02,73.05,102596
10:30:00,73.045,73.115,73.025,73.09,56726
10:31:00,73.09,73.13,73.08,73.115,52672
10:32:00,73.12,73.16,73.07,73.07,66828
10:33:00,73.065,73.105,73.04,73.085,46388
10:34:00,73.083,73.17,73.075,73.105,95621
10:35:00,73.105,73.13,73.08,73.105,67789
10:36:00,73.105,73.18,73.09,73.13,57027
10:37:00,73.135,73.155,73.08,73.105,44969
10:38:00,73.1,73.16,73.095,73.145,60361
10:39:00,73.15,73.25,73.15,73.245,48591
10:40:00,73.245,73.25,73.2,73.215,44892
10:41:00,73.2161,73.22,73.165,73.22,44730
10:42:00,73.22,73.305,73.22,73.275,44494
10:43:00,73.2763,73.32,73.24,73.285,68891
10:44:00,73.285,73.285,73.21,73.24,85783
10:45:00,73.245,73.265,73.21,73.225,52333
10:46:00,73.22,73.28,73.19,73.27,36887
10:47:00,73.2775,73.295,73.26,73.2875,45810
10:48:00,73.285,73.3,73.2104,73.225,64036
10:49:00,73.225,73.265,73.19,73.255,45269
10:50:00,73.26,73.34,73.24,73.335,42838
10:51:00,73.33,73.35,73.275,73.35,39347
10:52:00,73.35,73.385,73.345,73.3574,56773
10:53:00,73.36,73.44,73.35,73.415,96741
10:54:00,73.415,73.48,73.3801,73.47,50311
10:55:00,73.46,73.49,73.44,73.475,57668
10:56:00,73.47,73.495,73.455,73.48,43467
10:57:00,73.49,73.586,73.455,73.57,85416
10:58:00,73.565,73.565,73.5,73.53,91452
10:59:00,73.53,73.56,73.5,73.55,51373
11:00:00,73.56,73.595,73.5,73.525,34046
11:01:00,73.5276,73.545,73.5,73.51,46086
11:02:00,73.51,73.515,73.4003,73.41,89906
11:03:00,73.405,73.48,73.33,73.475,69837
11:04:00,73.475,73.51,73.445,73.47,43968
11:05:00,73.475,73.55,73.475,73.4901,53749
11:06:00,73.495,73.55,73.48,73.52,58348
11:07:00,73.52,73.52,73.415,73.46,45641
11:08:00,73.46,73.5,73.445,73.47,46086
11:09:00,73.48,73.539,73.48,73.4901,29878
11:10:00,73.495,73.57,73.485,73.54,55882
11:11:00,73.545,73.6,73.535,73.5799,74259
11:12:00,73.575,73.68,73.53,73.6751,79278
11:13:00,73.675,73.77,73.66,73.755,47690
11:14:00,73.755,73.77,73.725,73.7501,61999
11:15:00,73.755,73.755,73.675,73.725,76337
11:16:00,73.725,73.76,73.705,73.72,48080
11:17:00,73.72,73.73,73.655,73.675,42923
11:18:00,73.68,73.68,73.63,73.67,60967
11:19:00,73.6701,73.69,73.64,73.665,52528
11:20:00,73.67,73.75,73.67,73.73,34719
11:21:00,73.735,73.745,73.7001,73.7001,20844
11:22:00,73.71,73.775,73.705,73.72,61824
11:23:00,73.71,73.725,73.685,73.69,29300
11:24:00,73.695,73.72,73.64,73.66,52510
11:25:00,73.655,73.76,73.645,73.75,70336
11:26:00,73.745,73.82,73.72,73.745,93641
11:27:00,73.745,73.76,73.71,73.755,42659
11:28:00,73.7599,73.775,73.74,73.7561,30626
11:29:00,73.76,73.8,73.75,73.78,51929
11:30:00,73.78,73.79,73.73,73.7359,44435
11:31:00,73.7392,73.745,73.69,73.72,39674
11:32:00,73.725,73.725,73.65,73.655,44923
11:33:00,73.65,73.78,73.62,73.7735,61824
11:34:00,73.77,73.81,73.73,73.775,33542
11:35:00,73.78,73.805,73.74,73.745,52210
11:36:00,73.745,73.8398,73.72,73.755,59921
11:37:00,73.75,73.78,73.71,73.76,51692
11:38:00,73.765,73.775,73.68,73.705,33878
11:39:00,73.705,73.79,73.705,73.78,39806
11:40:00,73.79,73.795,73.715,73.7218,45185
11:41:00,73.725,73.74,73.685,73.7001,34594
11:42:00,73.69,73.76,73.69,73.76,23644
11:43:00,73.75,73.775,73.71,73.755,43773
11:44:00,73.755,73.83,73.75,73.83,24053
11:45:00,73.84,73.878,73.84,73.86,46703
11:46:00,73.86,73.88,73.845,73.85,26938
11:47:00,73.855,73.86,73.8,73.8,63730
11:48:00,73.8,73.81,73.75,73.75,28474
11:49:00,73.75,73.7551,73.7,73.705,54046
11:50:00,73.705,73.765,73.68,73.765,57759
11:51:00,73.765,73.778,73.73,73.73,39795
11:52:00,73.73,73.755,73.71,73.7199,42848
11:53:00,73.715,73.72,73.685,73.69,60966
11:54:00,73.68,73.685,73.65,73.685,36288
11:55:00,73.685,73.75,73.65,73.685,81594
11:56:00,73.69,73.69,73.65,73.65,18859
11:57:00,73.655,73.68,73.625,73.655,35560
11:58:00,73.655,73.67,73.64,73.665,29720
11:59:00,73.6635,73.69,73.65,73.685,38273
12:00:00,73.685,73.7,73.55,73.55,49752
12:01:00,73.55,73.615,73.545,73.555,75263
12:02:00,73.5515,73.59,73.5515,73.5699,31921
12:03:00,73.565,73.65,73.56,73.605,47165
12:04:00,73.605,73.6099,73.575,73.605,32412
12:05:00,73.6,73.625,73.565,73.625,40801
12:06:00,73.6299,73.6299,73.545,73.58,52981
12:07:00,73.578,73.58,73.5227,73.53,80670
12:08:00,73.54,73.59,73.535,73.585,36030
12:09:00,73.585,73.64,73.57,73.5727,22543
12:10:00,73.5701,73.6,73.555,73.575,22033
12:11:00,73.57,73.57,73.515,73.545,40506
12:12:00,73.55,73.57,73.525,73.56,32510
12:13:00,73.555,73.5799,73.51,73.575,34568
12:14:00,73.575,73.615,73.575,73.61,31749
12:15:00,73.605,73.655,73.6,73.625,42815
12:16:00,73.63,73.655,73.6,73.63,60202
12:17:00,73.6282,73.64,73.6,73.625,29165
12:18:00,73.625,73.65,73.61,73.645,27314
12:19:00,73.645,73.645,73.51,73.545,117072
12:20:00,73.55,73.6,73.52,73.5699,34790
12:21:00,73.57,73.63,73.55,73.62,52526
12:22:00,73.615,73.71,73.615,73.705,119155
12:23:00,73.7001,73.705,73.585,73.585,105446
12:24:00,73.59,73.625,73.5703,73.615,41494
12:25:00,73.62,73.69,73.615,73.655,28519
12:26:00,73.66,73.7055,73.61,73.705,55145
12:27:00,73.705,73.735,73.68,73.735,31560
12:28:00,73.7351,73.825,73.7164,73.805,66154
12:29:00,73.805,73.805,73.77,73.79,36247
12:30:00,73.8,73.98,73.7999,73.9,156836
12:31:00,73.8999,74.025,73.895,73.97,133695
12:32:00,73.96,73.98,73.92,73.94,58039
12:33:00,73.955,74.04,73.9325,74.03,159177
12:34:00,74.03,74.19,74.02,74.175,102399
12:35:00,74.17,74.255,74.1609,74.245,131486
12:36:00,74.24,74.25,74.02,74.025,143642
12:37:00,74.025,74.09,73.99,74.09,106513
12:38:00,74.095,74.115,74.075,74.095,71538
12:39:00,74.095,74.105,73.98,73.982,126203
12:40:00,73.98,74.05,73.94,74.045,62350
12:41:00,74.05,74.0599,73.985,74.01,62063
12:42:00,74.015,74.04,73.98,74.015,83446
12:43:00,74.016,74.03,73.95,74,58712
12:44:00,73.99,73.99,73.95,73.965,75369
12:45:00,73.97,74.05,73.965,74.015,73502
12:46:00,74.015,74.0199,73.9701,73.985,75038
12:47:00,73.99,74.01,73.985,73.995,56128
12:48:00,73.995,74,73.95,73.98,86380
12:49:00,73.985,73.985,73.9135,73.93,53714
12:50:00,73.935,73.975,73.925,73.965,70286
12:51:00,73.965,73.975,73.915,73.915,42656
12:52:00,73.92,73.99,73.915,73.98,56283
12:53:00,73.975,74.025,73.965,74.025,106535
12:54:00,74.025,74.04,74.01,74.0398,47909
12:55:00,74.035,74.05,73.99,73.99,97993
12:56:00,74,74.02,73.98,74.01,49601
12:57:00,74.005,74.01,73.94,73.96,46473
12:58:00,73.95,73.98,73.92,73.97,44243
12:59:00,73.98,73.995,73.96,73.98,34862
13:00:00,73.985,73.995,73.95,73.99,84622
13:01:00,73.985,74,73.95,73.975,63179
13:02:00,73.975,73.985,73.835,73.84,129937
13:03:00,73.84,73.8722,73.82,73.86,65741
13:04:00,73.8661,73.91,73.86,73.905,43488
13:05:00,73.9001,73.94,73.875,73.93,74775
13:06:00,73.925,73.94,73.92,73.925,37143
13:07:00,73.925,73.94,73.87,73.87,71893
13:08:00,73.8748,73.89,73.855,73.875,53378
13:09:00,73.875,73.885,73.8,73.825,77071
13:10:00,73.825,73.89,73.81,73.865,39489
13:11:00,73.865,73.9,73.85,73.885,41740
13:12:00,73.885,73.92,73.8721,73.875,44677
13:13:00,73.875,73.8999,73.855,73.89,39313
13:14:00,73.89,73.935,73.885,73.907,44149
13:15:00,73.905,73.945,73.905,73.91,42661
13:16:00,73.915,73.96,73.9103,73.955,40484
13:17:00,73.955,74.02,73.95,74.005,45302
13:18:00,74.005,74.015,73.94,73.962,55910
13:19:00,73.97,73.99,73.95,73.97,47886
13:20:00,73.96,74,73.9401,73.955,38521
13:21:00,73.955,74.05,73.925,73.93,152811
13:22:00,73.94,73.9599,73.93,73.945,50912
13:23:00,73.94,73.945,73.92,73.945,54488
13:24:00,73.945,73.99,73.935,73.9699,29670
13:25:00,73.965,74.08,73.965,74.03,202320
13:26:00,74.025,74.055,74.01,74.05,45926
13:27:00,74.05,74.05,73.995,74.015,30474
13:28:00,74.02,74.04,74.005,74.035,88959
13:29:00,74.035,74.095,74.025,74.07,76831
13:30:00,74.0698,74.11,74.06,74.095,75743
13:31:00,74.0995,74.115,74.0801,74.115,78064
13:32:00,74.115,74.1397,74.06,74.065,44782
13:33:00,74.065,74.11,74.04,74.065,55486
13:34:00,74.06,74.07,74.005,74.015,25120
13:35:00,74.015,74.04,73.99,74.005,63615
13:36:00,74.01,74.015,73.97,74,30596
13:37:00,73.99,73.995,73.905,73.91,28476
13:38:00,73.91,73.93,73.85,73.86,57903
13:39:00,73.851,73.87,73.82,73.835,55005
13:40:00,73.83,73.8503,73.78,73.78,79003
13:41:00,73.78,73.81,73.77,73.81,58461
13:42:00,73.805,73.8118,73.775,73.795,33276
13:43:00,73.795,73.84,73.78,73.835,54186
13:44:00,73.835,73.865,73.825,73.8568,50380
13:45:00,73.86,73.8799,73.84,73.855,39574
13:46:00,73.855,73.87,73.78,73.785,99048
13:47:00,73.785,73.9053,73.775,73.895,83861
13:48:00,73.9,73.93,73.88,73.91,44510
13:49:00,73.915,73.9325,73.9,73.915,64255
13:50:00,73.92,74.01,73.91,73.98,85922
13:51:00,73.985,74.01,73.95,73.99,57055
13:52:00,73.99,74,73.96,73.974,48156
13:53:00,73.9705,73.995,73.95,73.98,73275
13:54:00,73.98,74,73.96,73.985,95695
13:55:00,73.99,73.99,73.955,73.985,37083
13:56:00,73.98,74.06,73.975,74.035,124835
13:57:00,74.035,74.05,73.97,74.005,74861
13:58:00,74.005,74.03,73.9799,74.01,46546
13:59:00,74.005,74.0773,74,74.06,49247
14:00:00,74.07,74.09,73.99,73.99,53718
14:01:00,73.99,73.9999,73.935,73.9801,50542
14:02:00,73.9801,74.03,73.965,74.0299,38131
14:03:00,74.03,74.055,74.02,74.04,36628
14:04:00,74.0351,74.1,74.025,74.075,51177
14:05:00,74.075,74.1,74.055,74.075,71107
14:06:00,74.07,74.09,74.035,74.055,35504
14:07:00,74.0599,74.0599,73.95,73.985,94434
14:08:00,73.99,74.055,73.9829,74.045,83718
14:09:00,74.04,74.0799,74.02,74.065,56319
14:10:00,74.065,74.0799,74,74.0001,58878
14:11:00,74.0033,74.04,73.975,74,115863
14:12:00,74,74.015,73.95,73.955,30793
14:13:00,73.955,74.01,73.93,73.98,85367
14:14:00,73.98,74.005,73.95,74,41699
14:15:00,74.005,74.01,73.955,73.985,55218
14:16:00,73.98,73.9999,73.96,73.965,38251
14:17:00,73.965,73.98,73.91,73.9199,52971
14:18:00,73.9102,73.98,73.9,73.97,100882
14:19:00,73.975,73.985,73.96,73.9699,41087
14:20:00,73.965,74.085,73.96,74.085,120256
14:21:00,74.0801,74.16,74.0601,74.16,65580
14:22:00,74.16,74.2199,74.16,74.185,53911
14:23:00,74.185,74.25,74.165,74.21,47197
14:24:00,74.215,74.235,74.1901,74.205,81278
14:25:00,74.2,74.2672,74.1955,74.2554,65495
14:26:00,74.25,74.2599,74.21,74.235,95039
14:27:00,74.23,74.26,74.22,74.235,36294
14:28:00,74.235,74.26,74.21,74.26,80054
14:29:00,74.255,74.29,74.2547,74.285,33536
14:30:00,74.29,74.3195,74.265,74.295,135009
14:31:00,74.295,74.345,74.285,74.315,118221
14:32:00,74.325,74.325,74.255,74.3095,85020
14:33:00,74.305,74.32,74.29,74.31,38143
14:34:00,74.315,74.35,74.255,74.275,106203
14:35:00,74.28,74.35,74.265,74.34,84782
14:36:00,74.335,74.34,74.26,74.265,72597
14:37:00,74.265,74.29,74.26,74.265,59721
14:38:00,74.265,74.29,74.25,74.2899,100614
14:39:00,74.285,74.32,74.2703,74.285,81241
14:40:00,74.29,74.31,74.25,74.265,113818
14:41:00,74.265,74.29,74.235,74.2799,117593
14:42:00,74.28,74.28,74.25,74.27,80627
14:43:00,74.27,74.32,74.26,74.32,55913
14:44:00,74.315,74.34,74.275,74.315,101964
14:45:00,74.32,74.3355,74.3,74.325,55757
14:46:00,74.32,74.34,74.3,74.34,74625
14:47:00,74.34,74.345,74.27,74.315,77957
14:48:00,74.315,74.315,74.275,74.2938,54954
14:49:00,74.29,74.305,74.28,74.285,66990
14:50:00,74.285,74.3063,74.12,74.22,284377
14:51:00,74.2262,74.245,74.2,74.205,47301
14:52:00,74.21,74.3098,74.16,74.3098,90182
14:53:00,74.3,74.33,74.265,74.275,68487
14:54:00,74.275,74.3,74.25,74.2801,60246
14:55:00,74.285,74.31,74.265,74.2698,60455
14:56:00,74.265,74.315,74.24,74.315,209668
14:57:00,74.315,74.3299,74.28,74.315,133950
14:58:00,74.315,74.43,74.315,74.4,112173
14:59:00,74.405,74.405,74.36,74.385,112818
15:00:00,74.385,74.385,74.33,74.38,100383
15:01:00,74.39,74.4,74.36,74.395,79330
15:02:00,74.395,74.425,74.37,74.395,89662
15:03:00,74.395,74.395,74.1,74.125,514545
15:04:00,74.1236,74.17,74.08,74.17,95027
15:05:00,74.175,74.22,74.15,74.195,118369
15:06:00,74.2,74.215,73.93,73.935,307082
15:07:00,73.93,73.945,73.68,73.7095,223828
15:08:00,73.71,73.83,73.71,73.755,163876
15:09:00,73.755,73.92,73.74,73.905,149676
15:10:00,73.91,73.92,73.86,73.885,145515
15:11:00,73.885,74.065,73.875,74.025,160781
15:12:00,74.025,74.06,73.98,74.03,164807
15:13:00,74.04,74.115,73.96,74.015,303534
15:14:00,74.01,74.03,73.9275,73.935,191484
15:15:00,73.935,73.945,73.76,73.795,181632
15:16:00,73.79,73.95,73.78,73.925,160201
15:17:00,73.925,73.95,73.87,73.87,111482
15:18:00,73.875,73.895,73.71,73.755,96931
15:19:00,73.755,73.845,73.71,73.835,153883
