time,open,high,low,close,volume
09:30:00,354.92,355.2694,352,353.81,320646
09:31:00,353.69,353.96,352.63,352.68,65501
09:32:00,352.72,353.5,351.99,353.34,56567
09:33:00,353.335,354.25,353.1856,354.25,65411
09:34:00,354.17,354.46,353.935,354.43,33624
09:35:00,354.43,354.61,353.67,354.36,32226
09:36:00,354.45,354.9894,354.23,354.23,36636
09:37:00,354.365,354.79,354.1903,354.52,28261
09:38:00,354.63,354.8,354.11,354.66,28805
09:39:00,354.57,355,354.28,354.68,24299
09:40:00,354.71,355.2797,354.58,355.07,32852
09:41:00,355.13,355.305,354.45,354.55,30080
09:42:00,354.53,354.61,353.4,353.545,20246
09:43:00,353.57,354.17,353.56,353.925,21667
09:44:00,353.97,354.28,353.54,353.8375,23864
09:45:00,353.92,353.95,353.34,353.365,37268
09:46:00,353.41,353.89,353.34,353.555,26204
09:47:00,353.555,354.03,353.51,354.02,21213
09:48:00,354.025,354.0511,353.71,353.97,18994
09:49:00,354.06,354.12,353.7,354,19505
09:50:00,353.94,354.19,353.81,353.89,24172
09:51:00,353.87,353.98,353.595,353.725,24382
09:52:00,353.79,354.1,353.65,353.985,13506
09:53:00,353.96,353.98,353.25,353.92,21962
09:54:00,353.92,354.345,353.635,354.23,20834
09:55:00,354.27,354.515,353.93,354.0835,38212
09:56:00,354.06,354.43,354.06,354.4,11308
09:57:00,354.43,354.6999,354.26,354.5636,14137
09:58:00,354.525,354.94,354.4,354.94,37950
09:59:00,354.885,354.885,354.13,354.45,31235
10:00:00,354.52,355.08,354,354,36746
10:01:00,353.95,354,353.6412,353.92,22831
10:02:00,353.975,354.195,353.56,354.01,23131
10:03:00,353.965,354.405,353.965,354.07,35555
10:04:00,354.03,354.09,353.78,353.94,24696
10:05:00,353.99,354.08,353.54,353.58,27402
10:06:00,353.59,353.634,352.56,352.61,33641
10:07:00,352.56,352.83,352.3,352.795,51075
10:08:00,352.83,353.3796,352.68,353.19,20053
10:09:00,353.22,353.4517,352.95,353.4,18012
10:10:00,353.36,354,353.13,354,34211
10:11:00,353.985,354.5801,353.91,354.4,24819
10:12:00,354.37,354.705,353.92,353.92,25759
10:13:00,353.93,354.02,353.13,353.13,30648
10:14:00,353.2001,353.38,352.929,352.929,25633
10:15:00,353.01,353.09,352.8,352.97,15826
10:16:00,352.96,353.135,352.55,352.55,21364
10:17:00,352.65,352.91,352.58,352.71,23034
10:18:00,352.65,353.17,352.64,353.0099,21997
10:19:00,352.955,353.26,352.92,353.16,15746
10:20:00,353.23,353.34,353.19,353.28,6339
10:21:00,353.27,353.4399,353.15,353.195,11143
10:22:00,353.15,353.17,352.85,353.12,27530
10:23:00,353.08,353.18,352.96,353.14,11086
10:24:00,353.17,353.25,353.03,353.25,16030
10:25:00,353.225,353.54,353.1,353.17,18651
10:26:00,353.155,353.4699,353.1398,353.34,9067
10:27:00,353.33,353.7141,353.29,353.59,17201
10:28:00,353.65,353.83,353.47,353.7101,11463
10:29:00,353.71,353.71,353.36,353.405,10552
10:30:00,353.405,353.54,353.11,353.19,19656
10:31:00,353.22,353.305,352.95,353.09,18929
10:32:00,353.09,353.14,352,352,79507
10:33:00,352,352.72,351.39,352.355,61628
10:34:00,352.43,352.86,352.16,352.3,62734
10:35:00,352.4833,352.69,352.18,352.19,22707
10:36:00,352.18,352.65,352.17,352.305,16486
