time,open,high,low,close,volume
09:30:00,333.505,333.71,331.13,332.81,941500
09:31:00,332.73,332.86,331.5,331.55,199699
09:32:00,331.57,332.28,331.48,331.74,148274
09:33:00,331.74,332.9499,331.735,332.03,112221
09:34:00,332.15,332.26,331.3,331.91,145194
09:35:00,331.92,331.934,330.77,330.93,270498
09:36:00,330.95,331.83,330.93,331.42,135285
09:37:00,331.445,331.86,331.32,331.65,109673
09:38:00,331.635,331.73,331.1858,331.39,110952
09:39:00,331.41,331.46,330.82,331.055,87525
09:40:00,331.08,331.08,330.35,330.39,100994
09:41:00,330.41,330.88,330.02,330.37,163284
09:42:00,330.35,330.55,330.06,330.28,147993
09:43:00,330.3,330.77,330.14,330.575,73043
09:44:00,330.58,330.8,330.4,330.58,95452
09:45:00,330.6399,330.735,330.06,330.29,126964
09:46:00,330.29,330.87,330.22,330.57,101982
09:47:00,330.53,330.756,330.11,330.74,82679
09:48:00,330.72,330.72,330.15,330.37,98814
09:49:00,330.35,330.64,330.29,330.305,74475
09:50:00,330.3,330.3001,329.69,329.76,155249
09:51:00,329.805,330.07,329.64,329.85,99662
09:52:00,329.835,330.08,329.41,329.6,168684
09:53:00,329.6,329.9272,329.08,329.08,114018
09:54:00,329.1,329.15,328.65,328.7003,125840
09:55:00,328.69,328.82,328.4,328.75,141918
09:56:00,328.73,328.9,328.53,328.86,101472
09:57:00,328.89,329.06,328.8,328.84,112533
09:58:00,328.82,329.045,328.71,328.74,79368
09:59:00,328.745,329.09,328.68,328.9,113047
10:00:00,328.88,328.96,328.7,328.8462,94074
10:01:00,328.845,329.01,328.5,328.6,130257
10:02:00,328.605,328.61,328.3,328.45,80963
10:03:00,328.45,328.475,328.18,328.285,73602
10:04:00,328.24,328.5795,328.24,328.41,75163
10:05:00,328.425,328.76,328.3,328.585,75284
10:06:00,328.585,328.585,328.1801,328.25,88233
10:07:00,328.26,328.7499,328.17,328.725,110946
10:08:00,328.725,328.76,328.36,328.41,60743
10:09:00,328.3901,328.58,328.2,328.265,88424
10:10:00,328.28,328.4,328.08,328.1129,148400
10:11:00,328.15,328.175,327.3,327.325,224201
10:12:00,327.31,327.87,327.231,327.72,112621
10:13:00,327.71,327.715,327.435,327.61,101232
10:14:00,327.62,327.65,327.12,327.17,109735
10:15:00,327.16,327.25,326.91,327.01,185364
10:16:00,326.99,327.01,326.64,326.705,97185
10:17:00,326.705,326.88,326.67,326.765,122066
10:18:00,326.77,326.949,326.43,326.6101,228449
10:19:00,326.65,327.3399,326.46,327.115,191970
