time,open,high,low,close,volume
09:30:00,310.34,311.08,309.04,309.41,854364
09:31:00,309.33,309.41,308.16,308.8,187025
09:32:00,308.7001,310.11,308.525,309.96,207053
09:33:00,309.92,310.4099,309.64,310.29,110654
09:34:00,310.33,310.78,310.16,310.74,145714
09:35:00,310.7191,311.24,310.69,311.18,162473
09:36:00,311.13,311.28,310.67,311.085,127309
09:37:00,311.06,311.95,311.03,311.655,129365
09:38:00,311.61,311.9175,311.31,311.865,92973
09:39:00,311.84,312.07,311.57,311.79,159837
09:40:00,311.8128,311.84,310.31,310.3699,110533
09:41:00,310.3301,310.99,310.19,310.86,122996
09:42:00,310.87,311.1,310.78,310.8,101723
09:43:00,310.8,311.21,310.73,311.1,63969
09:44:00,311.09,311.26,310.44,310.87,90360
09:45:00,310.85,311.1666,310.82,311.09,60963
09:46:00,311.07,311.1112,310.77,310.845,83319
09:47:00,310.85,311.43,310.835,311.3,69108
09:48:00,311.28,311.46,311.0794,311.445,48512
09:49:00,311.43,311.61,311.16,311.505,59301
09:50:00,311.47,311.58,311.26,311.51,71061
09:51:00,311.52,311.64,311.01,311.14,117578
09:52:00,311.135,311.2784,310.7,310.76,138225
09:53:00,310.7599,311.36,310.7599,311.33,63318
09:54:00,311.33,311.86,311.29,311.72,167068
09:55:00,311.72,311.76,311.14,311.345,71212
09:56:00,311.3234,311.33,311.0152,311.025,74383
09:57:00,311.025,311.21,310.8282,310.85,86763
09:58:00,310.85,311.04,310.76,310.85,106272
09:59:00,310.85,311.1,310.6501,310.975,84510
10:00:00,310.98,311.34,310.84,310.96,58053
10:01:00,310.96,311,310.5,310.559,67518
10:02:00,310.59,310.62,310.16,310.335,90538
10:03:00,310.35,310.62,310.31,310.615,48602
10:04:00,310.61,310.63,310.29,310.38,46871
10:05:00,310.38,310.4998,310.235,310.32,48038
10:06:00,310.33,310.74,310.32,310.44,60583
10:07:00,310.44,310.84,310.4,310.795,44480
10:08:00,310.8,311.41,310.78,311.29,93606
10:09:00,311.32,311.6,311.32,311.32,85909
10:10:00,311.33,311.69,311.2045,311.67,112787
10:11:00,311.665,311.945,311.14,311.48,201093
10:12:00,311.475,311.55,311.19,311.24,63439
10:13:00,311.25,311.26,310.87,311.08,65585
10:14:00,311.09,311.14,310.765,310.855,57158
10:15:00,310.85,310.9,310.5,310.555,66991
10:16:00,310.55,310.8599,310.39,310.8201,68952
10:17:00,310.82,310.83,310.57,310.7499,40551
10:18:00,310.75,311.0199,310.74,310.96,45606
10:19:00,310.96,310.99,310.66,310.925,46173
10:20:00,310.93,311.36,310.905,311.33,50604
10:21:00,311.34,311.71,311.33,311.615,75434
10:22:00,311.62,311.85,311.45,311.45,112903
10:23:00,311.47,311.69,311.41,311.69,51353
10:24:00,311.68,311.68,311.33,311.56,53947
10:25:00,311.54,312.3,311.53,312.11,73815
10:26:00,312.13,312.13,311.83,312.052,93773
10:27:00,312.07,312.25,311.97,312.06,63403
10:28:00,312.04,312.1,311.855,311.96,45638
10:29:00,311.93,312.09,311.86,312.07,54204
10:30:00,312.07,312.35,311.93,312.26,60115
10:31:00,312.24,312.24,311.74,311.92,90742
10:32:00,311.92,312.19,311.87,312.0595,55668
10:33:00,312.05,312.18,312.025,312.06,44915
10:34:00,312.02,312.15,311.96,312.15,49913
10:35:00,312.176,312.364,312.12,312.32,68260
10:36:00,312.315,312.3599,312.13,312.1941,56069
10:37:00,312.1901,312.1901,311.95,312,64399
10:38:00,311.97,312.24,311.94,312.24,41941
10:39:00,312.2275,312.36,312.0905,312.35,45124
10:40:00,312.35,312.4,312.08,312.2199,66465
10:41:00,312.195,312.22,311.79,311.91,55930
10:42:00,311.92,311.985,311.66,311.85,87977
10:43:00,311.855,312,311.7,311.77,45441
10:44:00,311.74,311.8,311.52,311.62,38547
10:45:00,311.625,311.72,311.43,311.45,40709
10:46:00,311.46,311.48,311.14,311.14,52233
10:47:00,311.14,311.175,310.72,310.75,86933
