time,open,high,low,close,volume
09:30:00,398.31,398.73,396.3001,396.57,608958
09:31:00,396.505,396.98,394.2,395.2,226146
09:32:00,395.195,395.68,394.41,394.76,119699
09:33:00,394.755,396.24,394.67,396.1,146000
09:34:00,396.105,396.28,395.53,396.015,87397
09:35:00,396.08,396.71,395.59,396,121182
09:36:00,396.14,397.91,396.1,397.685,96424
09:37:00,397.67,397.98,396.05,396.62,112190
09:38:00,396.4709,396.66,395.97,396.05,91152
09:39:00,396.05,396.1799,395.54,395.835,166566
09:40:00,395.76,396.12,394,394.2,175534
09:41:00,394.2,394.3323,393.16,393.22,98337
09:42:00,393.21,393.59,392.8042,393.32,97460
09:43:00,393.32,393.87,392.7,392.88,69824
09:44:00,392.82,393.22,392.09,392.2,177711
09:45:00,392.3,393.6699,392.0501,393.185,108263
09:46:00,393.13,394.06,392.975,394.04,53877
09:47:00,393.995,394.5599,393.63,393.735,49054
09:48:00,393.71,394.03,393.5,393.88,54531
09:49:00,393.87,394.2,393.32,394.125,55758
09:50:00,394.125,394.48,393.82,394.405,69429
09:51:00,394.48,394.51,393.99,394.27,60903
09:52:00,394.25,394.6,394.165,394.47,42070
09:53:00,394.4323,394.74,394.14,394.72,48614
09:54:00,394.68,395.06,394.47,394.735,51046
09:55:00,394.7,395.17,394.6,394.96,51950
09:56:00,394.9,395.54,394.87,395.5389,48943
09:57:00,395.455,395.59,395,395.32,59757
09:58:00,395.27,395.33,393.92,394.05,137176
09:59:00,394.125,394.27,393.21,393.28,87313
10:00:00,393.31,393.8899,393.02,393.75,67587
10:01:00,393.84,394.45,393.34,394.19,70969
10:02:00,394.2697,394.32,393.86,393.975,48048
10:03:00,394,394.15,393.77,393.9706,57429
10:04:00,393.95,394.4413,393.88,394.35,30106
10:05:00,394.35,394.5,394.12,394.21,42004
10:06:00,394.16,394.16,393.21,393.28,46936
10:07:00,393.32,393.55,393.06,393.09,51633
10:08:00,393.09,393.22,392.77,393.13,62915
10:09:00,393.11,393.23,392.67,392.94,67957
10:10:00,392.925,393.07,392.785,392.89,44203
10:11:00,392.94,393.7,392.935,393.68,96544
10:12:00,393.68,394,393.505,393.69,44730
10:13:00,393.69,394,393.57,393.62,39450
10:14:00,393.62,394.5195,393.62,394.4516,37617
10:15:00,394.475,394.52,394.07,394.42,37609
10:16:00,394.422,394.49,394,394.065,49729
10:17:00,394.05,394.07,393.54,393.88,121353
10:18:00,393.88,394.45,393.62,394.3453,103772
10:19:00,394.4302,394.73,394.38,394.645,47341
10:20:00,394.625,394.94,394.22,394.9051,57084
10:21:00,394.88,394.99,394.7042,394.945,26476
10:22:00,394.94,395.09,394.78,394.92,66332
10:23:00,394.93,395.09,394.73,395.01,54706
10:24:00,395.03,395.4699,395,395.43,61284
10:25:00,395.39,395.4188,395.02,395.1,49549
10:26:00,395.06,395.23,394.93,395.1225,52193
10:27:00,395.05,395.99,395.05,395.8833,71066
10:28:00,395.91,396.02,395.675,395.96,65843
10:29:00,395.945,396.23,395.82,395.98,70537
10:30:00,396.02,396.69,395.92,396.635,55864
10:31:00,396.59,396.88,396.28,396.79,53938
10:32:00,396.7948,397.02,396.425,396.595,53723
10:33:00,396.5,396.61,396.26,396.46,83864
10:34:00,396.39,396.87,396.28,396.79,61178
10:35:00,396.8052,396.92,396.64,396.7,69910
10:36:00,396.705,397.255,396.64,397.07,47092
10:37:00,397.07,397.16,396.64,396.66,36400
10:38:00,396.64,396.6699,396.2601,396.52,29024
10:39:00,396.5384,397.02,396.5001,396.88,44417
10:40:00,396.88,397,396.71,396.865,46045
10:41:00,396.8874,396.93,396.55,396.88,44516
10:42:00,396.875,397.09,396.78,397.07,45141
10:43:00,397.07,397.71,397.03,397.605,65492
10:44:00,397.59,397.59,397.3401,397.495,50857
10:45:00,397.45,397.57,397.34,397.52,39674
10:46:00,397.54,398.12,397.48,398.09,85321
