time,open,high,low,close,volume
09:30:00,387.8,389.85,386.85,389.33,534651
09:31:00,389.325,389.55,386.805,387.32,114524
09:32:00,387.43,389.14,387.34,389.03,108940
09:33:00,389.01,389.8,388.77,389.5425,87076
09:34:00,389.45,390.33,389.3201,390.26,117743
09:35:00,390.36,390.75,389.755,390.26,137798
09:36:00,390.42,391.28,390.19,391.03,158134
09:37:00,391.04,391.38,390.33,390.3847,119358
09:38:00,390.405,391.19,390.2113,390.825,77998
09:39:00,390.825,391.18,389.575,389.93,191011
09:40:00,389.91,390.39,389.5719,389.74,143400
09:41:00,389.67,390.22,389.49,389.575,176840
09:42:00,389.6,389.61,388.91,389.4,126741
09:43:00,389.4,389.47,388.7,388.925,95481
09:44:00,388.925,389.05,387.5,387.5151,66764
09:45:00,387.47,387.61,386.4,387.52,87639
09:46:00,387.495,388.28,387,388.255,81536
09:47:00,388.255,388.71,387.99,388.71,96489
09:48:00,388.695,389.29,388.37,389.025,81584
09:49:00,389.02,389.14,388.575,388.58,111612
09:50:00,388.58,389.09,388.27,388.985,59350
09:51:00,389.07,389.47,388.85,389.46,58845
09:52:00,389.4457,390.28,389.21,390.165,118135
09:53:00,390.25,390.3696,389.6601,390.18,55715
09:54:00,390.2405,390.8599,390.14,390.42,119226
09:55:00,390.455,391.09,390.39,391.05,97463
09:56:00,391.1,391.46,391,391.33,72729
09:57:00,391.33,391.34,390.19,390.605,85243
09:58:00,390.605,390.82,390.355,390.6606,57836
09:59:00,390.71,390.71,389.36,389.54,139733
10:00:00,389.6,390.85,389.545,390.765,57584
10:01:00,390.7888,391.49,390.7888,391.415,61398
10:02:00,391.42,391.9,390.8609,391.826,74147
10:03:00,391.9095,392.3599,391.8,392.325,86735
10:04:00,392.35,392.71,392.06,392.69,64129
10:05:00,392.68,393.9,392.68,393.4,151086
10:06:00,393.41,393.67,393.046,393.485,125610
10:07:00,393.555,393.97,393.2516,393.495,77755
10:08:00,393.5,393.54,393.16,393.32,62306
10:09:00,393.32,393.7299,392.9402,393.69,69279
10:10:00,393.67,394.05,393.53,393.78,107553
10:11:00,393.73,394.37,393.73,394.24,87611
10:12:00,394.24,394.68,394.068,394.68,147823
10:13:00,394.65,394.93,394.4101,394.905,104352
10:14:00,394.905,394.93,394.0716,394.16,68380
10:15:00,394.14,394.2,393.53,393.7,83870
10:16:00,393.68,394.16,393.39,394.1001,76187
10:17:00,394.12,394.94,394.06,394.93,72836
10:18:00,394.885,395.819,394.88,395.7429,161309
10:19:00,395.775,396.39,395.63,396.03,221631
10:20:00,396.05,396.55,395.84,396.37,108553
10:21:00,396.375,397.61,396.375,397.5,137902
10:22:00,397.5457,397.65,396.34,397.21,111372
10:23:00,397.21,397.34,396.14,396.6,92800
10:24:00,396.575,396.575,395.74,396.055,86163
10:25:00,396.055,396.26,395.75,395.93,112731
10:26:00,395.95,396.08,395.42,395.485,92549
10:27:00,395.545,395.545,394.82,394.98,93398
10:28:00,394.99,395.7336,394.9157,395.47,54347
10:29:00,395.475,395.7399,394.91,395.04,70314
10:30:00,395.01,395.78,394.97,395.605,65970
10:31:00,395.6017,396.11,395.26,396.11,64699
10:32:00,396.11,396.95,396.06,396.875,86907
10:33:00,396.87,396.87,395.96,396.6999,64496
10:34:00,396.655,396.8,396.14,396.295,52601
10:35:00,396.35,397.28,396.35,397.26,77552
10:36:00,397.1827,397.48,396.9875,397.05,72930
10:37:00,396.98,397.64,396.87,396.87,72034
10:38:00,396.88,397.56,396.82,397.365,62367
10:39:00,397.37,397.7,397.05,397.085,58701
10:40:00,397.115,397.79,397.0996,397.57,71302
10:41:00,397.5625,397.75,397.19,397.475,67338
10:42:00,397.47,397.5699,396.5011,396.6,91612
10:43:00,396.56,396.91,396.415,396.69,84112
10:44:00,396.75,397.16,396.08,396.26,71344
10:45:00,396.26,396.74,396.08,396.37,140860
10:46:00,396.39,396.46,395.5,395.5,72689
10:47:00,395.48,395.91,395.24,395.5,97416
10:48:00,395.56,396.1,395.4,395.905,53657
10:49:00,395.905,395.91,395.18,395.39,95302
10:50:00,395.43,395.44,394.91,395.385,75340
10:51:00,395.41,395.53,395.08,395.2001,111344
10:52:00,395.21,395.23,394.88,394.935,99154
10:53:00,394.93,395.23,394.9,395.15,52823
10:54:00,395.14,395.26,394.3026,394.32,59239
10:55:00,394.42,394.44,393.78,393.899,73138
10:56:00,393.81,394.42,393.6708,394.405,45431
10:57:00,394.3801,394.9999,394.24,394.925,52804
10:58:00,394.925,395.0499,394.2301,394.32,45579
10:59:00,394.305,394.49,393.94,394.005,50355
11:00:00,394.06,394.27,393.88,394.19,44527
11:01:00,394.145,394.3499,394.01,394.01,59579
11:02:00,394.01,394.3771,393.85,394.3,110332
11:03:00,394.295,394.63,393.6501,393.865,85516
